year,abilene_tx,adairsville_ga,aitkin_county_mn,alameda_county_ca,albany_ga,albert_lea_mn,albuquerque_nm,alex_mn,alpharetta_ga,amarillo_tx,anaheim_ca,anchorage_ak,anoka_county_mn,apple_valley_mn,arlington_county,arlington_tx,athens_clarke_county_ga,atkinson_county_ga,atlanta_ga,aurora_co,austin_mn,austin_tx,avondale_estates_ga,backus_mn,bainbridge_ga,bakersfield_ca,baltimore_md,bartow_county_ga,beaumont_tx,beltrami_county_mn,bemidji_mn,bibb_county_ga,blaine_mn,bleckley_county_ga,bloomington_mn,blue_earth_county_mn,boise_id,boston_ma,box_elder_county_ut,brantley_county_ga,braselton_ga,brooklyn_center_mn,brooklyn_park_mn,broward_county_fl,brownsville_tx,buchanan_ga,buffalo_ny,bulloch_county_ga,burke_county_ga,burnsville_mn,byron_ga,calhoun_ga,camden_county_ga,carroll_county_ga,carrollton_ga,cartersville_ga,cartoosa_county_ga,carver_county_mn,cass_county_mn,centerville_ut,chamblee_ga,chandler_az,charlotte_nc,chaska_mn,chattooga_county_ga,cherokee_county_ga,chesapeake_va,chicago_il,chisago_county_mn,chula_vista_ca,cincinnati_oh,clarkston_ga,clayton_county_pd_ga,clayton_county_sheriff_ga,cleveland_oh,clinch_county_ga,clinton_ut,cobb_county_pd_ga,cobb_county_sheriff_ga,college_park_ga,college_station_tx,colorado_springs_co,colquitt_county_ga,columbia_county_ga,columbia_heights_mn,columbus_ga,columbus_oh,columbus_state_university_ga,commerce_ga,cook_county_ga,coon_rapids_mn,corpus_christi_tx,cottage_grove_mn,cottonwood_heights_ut,coweta_county_ga,crawford_county_ga,crow_wing_county_mn,cumming_ga,cuthbert_ga,dakota_county_mn,dallas_tx,davis_county_ut,decatur_county_ga,dekalb_county_pd_ga,dekalb_county_sheriff_ga,denton_tx,denver_co,detroit_mi,douglas_county_ga,douglas_county_mn,douglas_ga,douglasville_ga,duchesne_county_ut,duluth_mn,dunwoody_ga,durham_nc,eagan_mn,early_county_ga,east_dublin_ga,east_point_ga,eden_prairie_mn,edina_mn,effingham_county_ga,el_paso_tx,emerson_ga,euharlee_ga,evans_county_ga,fairmont_mn,fannin_county_ga,fayette_county_ga,fergus_falls_mn,floyd_county_police_ga,floyd_county_sheriff_ga,forest_lake_mn,forsyth_county_ga,fort_wayne_in,fort_worth_tx,franklin_county_ga,fremont_ca,fresno_ca,fridley_mn,fulton_county_police_ga,fulton_county_sheriff_ga,ga_state_patrol,gainesville_ga,garland_tx,georgia_tech_police,gilbert_az,gilbert_mn,glendale_az,glynn_county_ga,golden_valley_mn,gordon_county_ga,grand_county_ut,grand_prairie_tx,gransville_ut,greene_county_ga,greensboro_nc,greenville_ga,griffin_ga,gwinnett_county_ga,habersham_county_ga,hall_county_ga,harris_county_tx,hastings_mn_mn,heard_county_ga,henderson_nv,hennepin_county_mn,henry_county_police_ga,henry_county_sheriff_ga,hermantown_mn,hillsborough_county_fl,hogansville_ga,honolulu,houston_county_ga,houston_tx,hutchinson_mn,indianapolis_in,irving_tx,itasca_county_mn,jackson_county_ga,jackson_ga,jacksonville_county_fl,jasper_county_ga,jeff_davis_county_ga,jersey_city_nj,johns_creek_ga,jonesboro_ga,juab_county_ut,kanabec_county_mn,kansas_city_mo,killeen_tx,kingsland_ga,lafayette_ga,lamar_county_ga,laredo_tx,las_vegas_metro_nv,laurens_county_ga,lawrenceville_ga,layton_ut,le_sueur_county_mn,leesburg_ga,lehi_ut,lewisville_tx,liberty_county_ga,lincoln_ne,lino_lakes_mn,little_falls_mn,locust_grove_ga,logan_ut,loganville_ga,long_beach_ca,los_angeles_ca,los_angeles_county_ca,louisville_ky,lowndes_county_ga,lubbock_tx,lumpkin_county_ga,macon_bibb_county_ga,macon_ga,madison_wi,mankato_mn,maplewood_mn,marietta_ga,mcallen_tx,mcduffie_county_ga,mckinney_tx,mcleod_county_mn,me_state_police,memphis_tn,mesa_az,mesquite_tx,midland_tx,midvale_ut,midway_ga,millard_county_ut,mille_lacs_county_mn,miltona_mn,milwaukee_wi,minneapolis_mn,minnetonka_mn,mn_bca,mn_state_patrol,monroe_county_ga,monroe_ga,morrison_county_mn,moultrie_ga,mounds_view_mn,murray_county_ga,nashville_metro_tn,new_brighton_mn,new_hope_mn,new_orleans_la,new_york_city,newark_nj,newton_county_ga,nicollet_county_mn,norfolk_va,north_las_vegas,north_mankato_mn,north_park_ut,norwich_ct,oakland_ca,odessa_tx,ogden_ut,oklahoma_city_ok,olivia_mn,olmsted_county_mn,omaha_ne,orange_county,orem_ut,orlando_fl,orono_mn,otter_tail_county_mn,owatonna_mn,palm_beach_county_fl,pasadena_tx,paulding_county_ga,payson_ut,peachtree_city_ga,pearland_tx,pelham_ga,philadelphia_pa,phoenix_az,pickens_county_ga,pike_county_ga,pine_county_mn,pine_lake_ga,pittsburgh_pa,plano_tx,pleasant_view_ut,plymouth_mn,polk_county_mn,polk_county_police_ga,polk_county_sheriff_ga,pooler_ga,port_wentworth_ga,portland_me,portland_or,provo_ut,putnam_county_ga,raleigh_nc,ramsey_county_mn,ramsey_pd_mn,red_lake_mn,reno_nv,ria_mn,richardson_tx,richfield_mn,richmond_county_ga,riverdale_ga,riverside_ca,riverside_county_ca,robbinsdale_mn,rochester_mn,rockdale_county_ga,roosevelt_ut,rosemount_mn,roseville_mn,roswell_ga,round_rock_tx,roy_ut,sacramento_ca,sacramento_county_ca,salina_ut,salt_lake_city_ut,san_antonio_tx,san_diego_ca,san_diego_county_ca,san_francisco_ca,san_jose_ca,sandy_springs_ga,sandy_ut,santa_ana_ca,saratoga_springs_ut,sardis_ga,savannah_chatham_metro_ga,savannah_ga,scott_county_mn,scottsdale_az,seattle_wa,sebeka_mn,shakopee_mn,sherburne_county_mn,sibley_county_mn,smithfield_ut,smyrna_ga,snellville_ga,south_jordan_ut,south_ogden_ut,south_salt_lake_ut,spalding_county_ga,springfield_mo,st_anthony_mn,st_cloud_mn,st_george_ut,st_james_mn,st_louis_county_mn,st_louis_metro_mo,st_louis_park_mn,st_paul_mn,st_petersburg_fl,statesboro_ga,stevens_county_mn,stillwater_mn,stockton_ca,syracuse_ut,tampa_fl,taylor_county_ga,taylorsville_ut,thomas_county_ga,toledo_oh,tooele_county_ut,troup_county_ga,tucson_az,tulsa_ok,tyler_tx,unified_pd,union_city_ga,utah_county_ut,utah_doc,utah_highway_patrol,utah_state_university,valdosta_ga,vidalia_ga,virginia_beach_va,virginia_mn,vt_state_police,waco_tx,wadena_county_mn,wadena_pd_mn,walker_county_ga,walton_county_sheriff_ga,warner_robins_ga,washington_county_mn_mn,washington_dc,waycross_ga,wayne_county_ga,weber_county_ut,west_bountiful_ut,west_jordan_ut,west_st_paul_mn,west_valley_city_ut,wheeler_county_ga,white_earth_reservation_mn,whitfield_county_ga,wichita_falls_tx,wichita_ks,willard_ut,winona_county_mn,winston_salem_nc,woodbury_mn,woods_cross_ut,woodstock_ga,worth_county_ga,wright_county_mn,zumbrota_mn
2003,,,0,,,0,,0,,,2,,1,0,,,,,,,0,1,,0,,,,,,0,0,,0,,0,0,,,,,,0,1,,,,,,,0,,,,,,,,0,0,,,,,0,,,,,0,,6,,,,,,,,,,,,,,0,,,,,,0,,0,,,,0,,,0,6,,,,,,,,,0,,,,0,,,0,,,,0,0,,,,,,0,,,0,,,0,,,,,,,0,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,1,,,0,,,,,,0,,,0,,,,,,,,,,0,,,,,,,17,,,,0,,,,,,0,0,,,,,14,15,,,,,,,,0,0,,,,,0,1,,,,,,,,0,0,,2,0,0,0,,,0,,0,,,0,0,,14,,,0,,,0,,,,,,,0,1,,,,,0,0,0,,,,,,,,11,,,,0,,,,,0,0,,,,,0,,,,,0,0,0,,0,,0,,,,,0,0,,,0,0,,,,,,,,,,,2,,,,,,,,,0,,,0,0,0,0,,,,,,,,,0,0,,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,0,1,,,,0,,,,,,,0,,,0,,,,,0,,0,,,,0,0
2004,,,0,,,0,,0,,,1,,0,0,,,,,,,0,0,,0,,,,,,0,0,,0,,0,0,,,,,,0,0,,,,,,,0,,,,,,,,0,0,,,,,0,,,,,0,,6,,,,,,,,,,,,,,0,,,,,,0,,0,,,,0,,,0,4,,,,,,,,,0,,,,0,,,0,,,,0,0,,,,,,0,,,1,,,0,,,,,,,0,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,,,,0,,,,,,,19,,,,0,,,,,,0,0,,,,,15,12,,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,1,0,0,1,,,0,,0,,,0,1,,11,,,0,,,0,,,,,,,0,0,,,,,0,0,0,,,,,,,,14,,,,0,,,,,0,0,,,,,0,,,,,0,0,0,,0,,0,,,,,0,0,,,0,0,,,,,,,,,,,3,,,,,,,,,0,,,0,0,0,0,,,,,,,,,0,0,,0,0,,1,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,,0,0,,,,0,,,,,,,0,,,0,,,,,0,,0,,,,0,0
2005,,,0,,,0,,0,,,2,,0,0,,,,,,,0,2,,0,,,,,,0,0,,0,,0,0,,,0,,,0,0,,,,,,,0,,,,,,,,0,0,0,,,1,0,,,,,1,,19,,,,,,0,,,,,,,,0,,,,,,0,,0,0,,,0,,,0,2,0,,,,,,,,0,,,0,0,,,0,,,,0,0,,,,,,0,,,0,,,0,,,,,,,0,,,,,,,,0,,,0,,0,,0,,,,,,,,,0,,,0,,,0,,,,,13,0,,,0,,,,,,,,,0,0,,,,,,,11,,,0,0,,0,,,,0,0,,0,,,11,10,,,,,,,,0,0,,,,,0,0,,,,,0,,0,0,0,,2,0,0,0,,,0,,0,,,0,0,,9,,,0,,,0,0,,,,0,,0,0,,,1,,0,0,0,,,,0,,,,7,,,,0,,,,0,0,0,,,,,0,,0,,,0,0,0,,0,,0,,,,,0,0,,0,0,0,,,0,,,0,0,,,,0,,,0,,0,,,,0,,3,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,0,0,,,0,0,,0,,,0,,,0,,,,,0,,0,0,0,0,,,,0,0,,0,0,,,,0,,,,0,0,1,0,1,,1,,,,0,0,,0,0,,,0,0
2006,,,0,,,0,,0,,,1,,0,0,,,,,,,0,0,,0,,,,,,0,0,,0,,0,0,,,0,,,0,0,,,,,,,0,,,,,,,,0,0,0,,,3,0,,,,,0,,12,,,,,,0,,,,,,,,0,,,,,,0,,0,0,,,0,,,0,2,0,,,,,,,,0,,,1,0,,,0,,,,1,0,,,,,,0,,,0,,,0,,,,,,,0,,,,,,,,0,,,0,,0,,0,,,,,,,,,0,,,0,,,0,,,,,8,0,,,0,,,,,,,,,0,0,,,,,,,24,,,0,0,,0,,,,0,0,,0,,,12,10,,,,,,,,0,0,,,,,0,0,,,,,0,,0,0,0,,3,0,0,1,,,0,,0,,,0,0,,13,,,0,,,0,0,0,,,2,,0,0,,,0,,0,0,0,,,,0,,,,22,,,,0,,,,0,0,0,,,,,1,,0,,,0,0,1,,0,,0,,,,,0,0,,0,0,0,,,0,,,0,1,,,,4,,,0,,0,,,,0,,1,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,,0,0,,,0,0,,0,,,0,,,0,,,,,0,,0,0,0,0,,,,0,1,,0,0,,,,0,,,,0,0,0,0,0,,0,,,,0,0,,0,0,,,0,0
2007,,,0,,,0,,1,,,1,,0,0,,,,,,,0,1,,0,,,,,,0,0,,0,,0,0,,,0,,,0,0,,,,,,,0,,,,,,,,0,0,1,,,1,0,,,,,0,,15,,,,,,0,,,,,,,,0,,,,,,0,,0,0,,,0,,,0,5,0,,,,,,,,0,,,0,0,,,0,,,,0,0,,,,,,0,,,0,,,0,,,,,,,0,,,,,,,,0,,,0,,1,,0,,,,,,,,,0,,,0,,,0,,,,,9,0,,,0,,,,,,,,,0,0,,,,,,,14,,,1,0,,0,,,,0,0,,0,,,20,6,,,,,,,,1,0,,,,,0,3,,,,,1,,0,0,0,,0,0,0,1,,,0,,0,,,0,0,,10,,,0,,,0,0,0,,,3,,0,0,,,0,,0,0,0,,,,0,,,,15,,,,0,,,,0,0,0,,,,,0,,0,,,0,0,1,,1,,0,,,,,0,0,,0,0,0,,,0,,,0,4,,,,2,,,1,,0,,,,0,,1,0,0,0,0,0,,,1,0,0,,,0,0,0,0,0,,0,1,,,0,1,,0,,,0,,,0,,,,,0,,0,0,0,0,,,,0,0,,0,0,,,,0,,,,1,0,1,1,2,,0,,,,0,0,,0,0,,,0,0
2008,,,0,,,0,,0,,,3,,0,0,,,,,,,0,1,,0,,,,,,0,0,,0,,0,0,,,0,,,0,1,,,,,,,0,,,,,,,,0,0,0,,,1,0,,,,,0,,12,,,,,,0,,,,,,,,0,,,,,,0,,0,0,,,0,,,0,5,1,,,,,,,,0,,,0,0,,,0,,,,0,0,,,,,,0,,,0,,,0,,,,,,,0,,,,,,,,0,,,0,,0,,0,,,,,,,,,1,,,0,,,0,,,,,10,0,,,0,,,,,,,,,0,0,,,,,,,14,,,0,0,,1,,,,0,0,,1,,,20,9,,,,,,,,0,0,,,,,0,2,,,,,0,,0,0,0,,0,0,0,1,,,1,,0,,,0,0,,13,,,0,,,0,1,0,,,0,,0,0,,,0,,0,0,1,,,,0,,,,12,,,,0,,,,0,0,0,,,,,1,,0,,,0,0,0,,0,,0,,,,,0,0,,0,0,0,,,0,,,0,0,,,,1,,,0,,0,,,,0,,0,0,0,0,0,1,,,0,0,2,,1,0,0,0,0,0,,0,0,,,0,0,,0,,,1,,,0,,,,,2,,0,1,0,1,,,,0,4,,0,0,,,,0,,,,0,0,0,0,3,,0,,,,0,0,,0,0,,,0,0
2009,,,0,,,0,,0,,,4,,1,0,,,,,,,0,3,,0,,,,,,0,1,,0,,0,0,,,0,,,0,0,1,,,,,,0,,,,,,,,0,0,0,,,0,0,,,,,0,,19,,,,,,0,,,,,,,,0,,,,,,0,,0,0,,,0,,,0,5,0,,,,,,,,0,,,0,0,,,0,,,,0,0,,,,,,0,,,0,,,0,,,,,,,0,,,,,,,,0,,,0,,0,,0,,,,,,,,,0,,,0,,,0,,,,,15,0,,,0,,,9,,,,,,0,0,,,,,,,17,,,1,1,,0,,,,0,0,,0,,,,,,,,,,,,0,1,,,,,0,0,,,,,0,,0,0,0,,1,0,0,0,,,0,,0,,,0,0,,12,,,0,,,0,0,0,,,0,,0,0,,,0,2,0,0,0,7,,,1,,,,15,7,,,0,,,,0,0,0,,,,,1,,0,,,0,0,0,,0,,0,,,,,0,0,,0,0,0,,,1,,,0,2,,,,1,,,0,,0,,,,0,,3,0,1,1,0,0,,,1,0,0,,0,0,0,1,0,0,,1,2,,,0,1,,0,0,,0,,,0,,,,,1,,2,0,0,0,,,,0,0,,0,0,,,,0,,,,1,0,0,0,0,,0,,,,0,0,,0,0,,,0,0
2010,0,0,0,,0,0,9,0,0,1,0,,0,0,,0,1,0,2,,0,3,0,0,0,,4,2,0,0,0,0,0,0,1,0,,1,0,0,0,0,0,4,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0,,15,0,,9,0,0,0,,0,1,1,0,0,0,,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,3,0,0,3,,0,0,0,1,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,,,0,0,0,1,0,0,0,,0,,1,0,0,0,0,0,0,,0,0,1,0,0,,0,1,,0,1,0,0,,0,1,0,8,0,3,1,0,0,0,4,0,0,,0,0,0,0,4,0,0,0,0,0,25,0,1,0,0,0,0,0,1,,0,1,0,0,0,,16,,3,1,0,0,0,1,,0,0,0,0,0,0,0,1,2,,0,0,1,1,0,0,0,4,0,0,0,1,0,0,1,0,0,0,4,0,0,2,8,,0,0,,,0,0,0,,0,1,,0,1,6,,0,2,0,0,0,3,0,1,0,0,0,0,11,8,0,0,0,0,,2,0,0,0,0,0,0,0,0,4,1,0,,0,0,0,,0,0,0,2,0,,,0,0,2,1,0,0,0,0,0,,,0,2,8,4,,3,1,0,0,,0,0,1,0,0,,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,,0,0,0,0,0,,0,0,1,,0,1,0,0,0,0,0,0,0,,0,2,1,0,0,0,0,0,0,,0,0,0,1,0,0,2,0,0,0,0,,0,0,,2,1,0,0,0,0
2011,1,0,0,,0,0,5,0,0,3,2,,0,0,,0,0,0,4,,0,2,1,0,0,,4,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,25,0,,20,0,0,0,,0,1,3,0,0,0,,0,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,,1,0,0,0,0,1,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,0,,,0,0,0,2,0,1,0,,0,,0,1,0,0,0,0,0,,0,0,3,0,1,,0,0,,0,0,0,0,,0,4,1,7,0,2,0,0,1,0,4,0,0,,0,0,0,0,5,0,0,0,1,0,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,,26,,10,0,1,0,0,0,,1,0,1,0,0,0,0,2,4,,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,2,9,,0,0,,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,12,9,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,0,0,0,1,0,,,0,0,0,0,0,1,0,0,0,,,1,2,0,2,,4,3,0,0,,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,,0,4,0,0,0,,0,0,5,,0,0,1,0,0,2,0,0,1,,0,2,0,0,0,0,0,0,0,,0,0,1,0,0,0,3,0,0,0,1,,0,1,,0,0,0,0,0,1
2012,2,0,0,,0,0,3,0,0,0,5,,0,1,,1,0,0,4,,0,2,0,0,0,,8,1,1,0,0,1,0,0,0,0,,1,1,1,0,1,0,3,1,1,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,2,0,0,3,,13,1,,10,0,4,1,,0,0,1,0,0,1,,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,6,1,1,2,,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,1,0,,,0,1,0,1,0,1,0,,0,,0,0,0,0,0,0,0,,0,1,4,0,0,,0,0,,0,0,0,0,,0,2,0,11,0,3,1,0,0,0,6,0,0,,0,0,0,0,2,1,1,0,0,0,,0,0,0,0,0,0,1,1,,0,0,0,0,1,,19,,3,0,2,0,0,0,,0,0,0,0,1,0,0,1,6,,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,16,,0,0,,,0,0,0,,1,0,,0,0,1,,0,1,0,0,0,6,0,1,0,0,0,1,15,7,0,0,0,0,,0,0,0,0,0,0,0,1,0,2,0,0,,0,0,0,,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,,,0,1,7,2,,2,1,0,0,,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,,0,0,0,,0,2,0,0,0,,0,0,9,,0,2,0,0,0,0,0,0,0,,0,2,0,0,0,0,2,0,0,,0,0,0,0,0,0,1,0,0,0,1,,0,0,,1,0,1,0,0,0
2013,0,0,0,,0,0,6,0,1,1,0,,0,0,,1,0,0,1,,0,3,1,0,0,,6,0,0,1,0,0,0,0,0,0,,3,0,0,0,1,0,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,,13,0,,13,0,2,0,,1,0,3,0,0,0,,0,1,0,2,7,0,0,0,0,1,0,0,0,1,1,0,0,0,6,1,0,0,0,0,4,,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,5,0,,,0,1,0,0,0,1,0,,0,,0,0,1,0,1,1,0,,0,0,3,0,0,,0,0,,0,0,0,0,,0,3,0,9,0,4,1,0,0,0,5,0,0,,0,0,0,0,6,1,0,0,0,0,,0,0,0,0,1,0,0,0,,0,0,0,0,0,,15,,3,0,0,0,0,0,,1,0,0,0,0,0,0,,8,,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,,0,0,,,1,0,1,,0,0,,0,0,3,,0,4,1,0,0,4,0,1,0,0,0,0,13,20,0,0,0,0,,0,1,0,0,1,0,1,0,,2,0,0,,0,0,0,,0,1,0,1,0,,,0,0,0,0,0,0,2,4,0,,,0,0,7,5,,0,2,0,0,,0,1,2,0,0,,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,,2,0,0,,1,1,1,0,0,,0,0,5,,1,1,0,1,0,2,0,0,0,,0,0,0,0,0,0,0,1,0,,1,0,1,0,0,0,0,0,0,1,0,,1,0,,0,0,0,0,0,0
2014,2,1,0,,0,0,6,0,0,0,2,,0,0,,1,0,0,1,,0,2,0,0,0,,3,0,1,0,0,0,0,0,0,0,,1,0,0,0,1,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,1,1,,1,2,1,0,,14,0,,21,0,0,0,,0,0,0,0,0,0,,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,5,0,0,4,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,,2,0,,,0,0,1,0,0,1,0,,0,,0,0,0,0,0,0,0,,0,0,3,0,0,,0,0,,1,1,0,0,,0,2,0,11,0,4,1,0,0,0,6,0,1,,0,0,1,0,4,0,0,0,0,1,,1,0,0,0,0,0,1,0,,0,0,0,0,0,,18,,8,0,2,0,0,0,,0,0,0,0,0,0,0,,0,,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,2,8,,1,0,,,0,0,0,,0,4,,0,0,3,,0,2,0,0,0,4,0,0,0,0,0,0,4,13,1,0,0,0,,0,0,0,0,0,1,0,0,,2,0,0,,0,1,0,,0,0,0,0,0,,,0,0,0,0,0,1,0,0,1,,,0,2,6,4,,2,1,0,0,,1,0,1,0,0,,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,2,,0,0,0,,0,2,0,0,0,,1,0,4,,0,2,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,,0,0,,0,0,1,0,0,0
2015,0,0,0,1,0,0,3,0,0,1,3,1,0,0,1,2,0,0,2,5,0,6,0,0,0,6,2,1,0,0,0,0,0,0,1,0,1,2,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,3,2,0,0,0,1,9,0,0,27,0,0,0,3,0,,0,1,0,0,2,0,0,1,0,5,0,0,0,0,1,0,,0,0,0,0,0,0,5,,1,2,0,0,4,1,1,0,1,0,,0,0,1,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,5,0,2,5,1,0,0,1,0,2,0,1,0,2,0,0,0,,0,,0,0,0,0,1,1,1,3,0,0,1,0,0,0,0,1,0,0,0,12,0,10,1,1,0,0,3,0,0,0,0,0,,1,2,0,0,0,0,2,11,0,0,,0,0,,0,0,1,1,0,0,,0,4,21,15,2,1,0,0,0,0,1,0,0,0,0,0,1,1,1,3,5,1,1,,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,4,8,,1,0,0,2,0,,0,5,1,,7,0,0,3,2,,2,0,0,0,1,0,2,,0,0,0,2,8,1,0,0,0,2,0,,1,0,0,0,0,1,0,3,,1,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,,0,0,0,0,,2,0,,2,4,8,1,6,6,0,,2,,0,1,0,0,1,2,0,0,0,0,,1,0,,,,0,3,0,0,,0,0,3,0,3,1,0,0,0,4,,2,0,,0,0,,0,3,7,0,,0,,,,,0,0,2,0,2,2,0,0,1,0,0,0,2,0,1,,,,0,,0,0,1,0,2,,0,0,0,,0,1,0,0
2016,0,0,1,0,1,0,4,0,0,1,3,3,0,0,0,0,0,0,1,2,0,6,0,0,0,3,3,1,2,0,0,0,0,1,0,0,3,3,,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,,0,1,6,0,0,0,1,10,0,0,12,0,2,0,0,0,,1,0,0,0,2,0,0,0,0,6,0,1,0,0,1,0,,1,0,0,0,0,0,4,,0,1,0,0,6,0,0,0,0,0,,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,,0,,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,1,0,7,0,3,1,0,0,1,3,0,0,0,0,0,,0,3,0,0,1,0,1,3,0,0,,0,0,,0,0,1,0,0,0,,0,4,20,15,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,4,1,1,,0,,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9,,0,0,5,1,0,,0,0,2,,4,0,0,3,1,,3,0,0,0,3,0,0,,0,0,0,5,16,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,,0,2,0,0,0,3,0,0,0,0,1,0,4,0,1,0,,0,1,0,0,,2,4,,0,8,3,3,3,2,0,,4,,0,0,0,0,1,2,0,0,0,0,,0,0,,,,0,0,1,0,,0,0,4,0,2,0,0,1,0,3,,2,0,,0,0,,0,4,5,0,,0,,,,,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,,,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0
2017,0,0,0,0,0,0,3,0,0,2,0,2,0,0,1,4,0,0,1,0,1,4,0,0,0,4,3,0,0,0,0,1,0,0,0,0,2,0,,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,7,1,1,9,0,0,0,2,0,,3,0,0,0,3,1,0,0,1,5,0,0,0,0,1,0,,0,0,0,0,0,0,3,,0,1,0,0,2,2,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,4,0,0,1,0,1,4,0,0,0,,1,,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,1,6,0,1,2,0,0,0,9,1,0,0,0,0,,0,4,1,0,0,0,1,10,0,0,,0,0,,0,0,0,0,0,0,,0,4,17,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,,0,,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,10,,0,0,2,0,0,,,1,0,,6,0,0,1,0,,1,0,0,0,1,0,1,,1,0,0,4,14,0,0,0,0,1,2,,0,1,0,0,0,0,1,2,,0,0,1,0,0,3,0,0,0,0,0,1,5,0,0,0,,0,0,0,0,,1,4,,2,3,4,6,3,4,0,,2,,0,0,0,0,0,3,0,0,0,0,,0,0,,,,1,1,0,0,,0,1,5,0,2,1,0,0,0,1,,0,0,,2,1,,0,3,3,0,,0,,,,,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,,,,0,,0,0,0,1,4,,0,0,0,,1,0,0,0
